Unnamed: 0	Number	Word	Sentence	PpW2	PpW3	PpW4	PpW5	PpKenlm	Mother tongue	Level
53956.0	38290	.	No recuerdo quién fue director+(a) director+(a) .	4935.440738568947	7894.825367312525	9859.754360714267	10046.592114894771	33261.523580390014	Inglés	C1
	634419	voy	Apenas para avisar que voy a llegar tarde hoy porque después de la clase voy con mis amigas a casa de Maria .	5390.592394726922	13624.724596063914	24718.45322230964	31443.724124161963	507.4703110514598	Portugués	A1
	492435	lugares	Pienso que fumar debe ser prohibido , especialmente en lugares donde hay mucha gente .	4295.478048871197	9129.695595964551	14100.635693823535	16184.557752851348	2156.641234221358	Ruso	B2
61692.0	113485	de	Mis actividades preferidas son nadar , eskiar , leer , y el ayudo informatico de cualquier ser humano .	11320.07908370468	20287.227241105	27890.224590937392	29868.151412692274	41580.820144229736	Árabe	B2
25922.0	143663	el	Viven en otros estados de el País .	645.4367940299712	1394.2225209700734	2168.832939835577	2579.562930088638	4631.7012906015725	Portugués	A1
	600711	teléfono	O también puedes llamar me por mi teléfono , 0987619777 .	14610.12271128817	23504.15703615581	22589.963576105107	18524.310656456848	15489.39833300631	Chino mandarín	B1
	202448	me	Si tenían prisa me llmarán por telefono , por_favor .	53961.03490823155	47057.10672160965	33576.79631196805	23206.52106004328	40171.58269254242	Chino mandarín	A1
	501566	menos	te hecho de menos te salodo ibrahim	32956.2393345797	36281.501084247306	26751.01717517024	18447.824971848888	2655.190164374636	Árabe	B1
84915.0	453949	gustaría	Me gustaría saber	27694.30928257581	14619.256804569824	8138.489607522253	4916.534358841141	4796.604961405113	Ruso	B1
53400.0	583724	Señores	Estimdos Señores	184295.21059817832	32707.77723559118	11085.199147340363	5329.540449310706	19890.86192087836	Árabe	C1
17627.0	178797	la	Sin_embargo cuando estamos en el camino , él dijo que acababa de obtener la licencia de conducir y era su primera vez conducir solo .	2923.7950685960145	7513.247670163831	14755.437944502619	21651.753038695057	600.7890788604441	Chino mandarín	B1
160476.0	524284	Nosotros	Nosotros vamos en un restarante .	11660.747802065427	12643.149318483447	9749.12653999619	7020.93316563177	7407.031047224395	Ruso	A1
197898.0	365176	buenos	buenos días .	1199.6137093633681	1244.5081609683925	1078.863511703689	890.2808370775972	1326.552776942012	Francés	B1
24924.0	569768	respecto_a	Le escribo para expresar le mi indignación respecto_a mi factura de el mes pasado .	17709.525778522293	29005.760884655494	30604.498995086382	27164.377995289364	3393.681802533739	Francés	C1
23506.0	381643	compartir	Sería suficiente organizar el espacio et compartir lo de manera justa .	9050.154785665172	19718.316176162174	22672.05929630129	20530.670645096627	6045.69606591823	Francés	B2
124078.0	122041	de	Esta decisión ha generado muchos debates sobre la legimidad de el gobierno brasileño de impedir que las personas puedan practicar algo que les gusta en lugares públicos .	4811.8236837223885	13158.6915127935	24446.469811060844	32905.41067792777	2363.047995438847	Portugués	B2
90592.0	323738	y	Mis ojos son verdes y tengo el pelo corto y castaño .	5820.77338121567	11313.281044134386	14485.948275661936	14556.199447599072	1459.7154348202719	Árabe	A1
125064.0	44578	.	Esto soltera .	5566.143841222866	3968.7918437280573	2594.993398100896	1804.2186049867312	30194.11429140291	Chino mandarín	A1
87919.0	49722	.	Pero a Rafa nada puede parar .	6952.193832985106	10610.326610286302	9882.289168089615	7863.682404138275	10418.120200571042	Ruso	C1
	199075	los	También me gusta mucho el norte en este periodo porque los precios de muchos productos son bajos y aprovecho este oportunidad para comprar muchas cosas aue necesito .	7082.256594651972	19358.80824155954	34035.8046780294	42941.43835446954	1711.1442703368705	Árabe	A2
	407240	día	Creo que la lengua española es muy bonita , interessante y compleja , y a cada día su impotancia en el mundo aumenta .	3044.441416821385	8234.874469661121	17245.334913062332	24508.23085999853	1876.6706481748315	Portugués	B2
	297049	una	Ellos han siendo una segunda familia a mi .	2564.846232307972	7081.817926461368	9136.492565924913	8741.67891155654	2506.079403820155	Inglés	A2
78964.0	610732	todos	Como lo he estudiado con mucho afán todos los días , soy capaz de conocer lo bonito de esta lengua y me he enamorado de ella .	3624.895089907617	10289.583111846208	18842.000573978632	25725.336057725162	409.6930887752011	Chino mandarín	B2
183329.0	336088	)	Después_de la elección , yo , como una persona de tres minorías ( soy mujer , negra y chicana ) , comenzé mejorar me en todos aspectos de mi vida para destruir los estereotipos de los mminorías que soy .	5949.7219318254065	19190.032205050502	38998.94870947855	55634.004908716444	5674.999093514023	Inglés	B2
65483.0	316324	y	Yo gusto viajar de semana , mirar a el cine , y visitar museos .	3444.4187261092275	8563.108071824177	13268.928555262111	15166.540509161585	23138.31463189892	Inglés	A1
6084.0	341115	abrazos	abrazos	67431.12099180876	11659.914400771999	4346.372529696301	2311.751913755511	412.7745200372447	Inglés	A2
16592.0	28894	.	Ama a los animales y viajar .	1585.759961488525	2864.486122316673	3678.689466712583	3784.565964746888	1614.9105787357491	Ruso	A2
	98575	con	La pelicula fue estrenada en el anho 1994 y fue recibida con mucho exito , crtitica y debate .	6509.751966712713	13041.487703577066	19021.425344465802	21635.843157372958	18110.147263393348	Ruso	C1
22404.0	88276	a	Jaafar no le gusta comer fuera_de su casa tampoco vas a un cafe . cada dominco va con su mujer para ir compras de el semana .	10649.741130408727	27530.713356696408	43900.09618718063	51737.63514374599	2492.385205214075	Árabe	A2
2726.0	379582	comido	Las comidas son muy saborosas y he comido carne de canguru , que a mi me encantó .	10422.720136442438	19627.57604117987	25847.79720597394	26732.927041596387	3391.1305655208535	Portugués	A2
65636.0	401990	dijo	El dijo ,	1282.6702164210851	1734.1540341690475	1527.2657285214661	1239.239392211867	11910.490354036843	Inglés	B1
245767.0	328884	yo	yo quiero hago de os novelas rapidemente ;	33583.46046528081	29690.503452217315	20681.09502092541	14089.004691985989	4136.109076709769	Francés	A1
